StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
110,0,199302,2.18,31.14,4.18,4.18,0.86,4.18,6,816,0.16,1.37,1.5,1.1,1.82,0.93,1.28,20.95,41.31
110,0,199303,2.85,41.79,4.04,4.04,0.9,4.04,12,653,0.76,0.65,1.5,1.48,1.77,1.12,1.2,31.01,52.57
110,0,199304,2.92,49.91,4.2,4.2,1.73,4.2,19,374,0.88,1.01,0.94,1.95,1.48,1.54,1.08,37.98,61.84
110,0,199305,2.94,60.89,3.74,3.74,-0.09,3.65,92,138,0.08,0.6,0.79,1.49,1.29,1.86,0.88,48.38,73.38
110,0,199306,3.61,67.21,4.21,4.21,2.58,4.21,205,43,1.59,0.91,1.11,1.81,1.75,2.02,1.11,55.13,79.27
110,0,199307,3.3,72.16,4.8,4.8,3.06,4.8,342,15,1.43,1.94,1.33,1.45,2.45,1.85,1.32,60.28,84.02
110,0,199308,2.77,71.89,4.98,4.98,2.01,4.98,312,12,0.42,1.22,1.84,1.64,2.11,1.78,1.36,59.54,84.22
110,0,199309,2.58,63.3,4.83,4.83,1.1,4.83,148,92,0.2,0.39,0.96,1.38,2.01,1.95,1.42,50.27,76.32
110,0,199310,2.19,52.97,4.59,4.59,0.76,4.59,47,304,-0.02,0.07,0.21,0.96,1.23,2.14,1.49,40.59,65.34
110,0,199311,2.12,39.22,4.43,4.43,0.96,4.43,12,587,-0.18,-0.13,-0.03,0.82,1.03,1.59,1.36,28.13,50.29
110,0,199312,1.96,34.2,4.11,4.11,0.39,4.11,4,822,-0.75,-0.58,-0.47,0.09,0.59,1.17,1.06,24.37,44.02
110,0,199401,2.24,29.34,4.05,4.05,1.11,4.05,7,1008,-0.03,-0.55,-0.5,-0.24,0.39,0.65,1.04,18.9,39.78
110,0,199402,2.15,31.87,3.89,3.89,0.77,3.89,10,798,0.1,0.01,-0.46,-0.3,0.4,0.64,0.99,20.7,43.07
110,0,199403,2.36,44.51,3.02,3.02,-1.4,2.42,19,584,-0.24,-0.09,-0.13,-0.45,0.01,0.44,0.98,32.2,56.82
110,0,199404,2.82,52.66,2.87,2.87,0.46,2.39,39,299,0.68,0.29,0.31,-0.18,-0.07,0.44,1.16,39.74,65.61
110,0,199405,2.43,60.67,2.09,2.09,-1.44,1.02,80,181,-1.01,-0.22,-0.3,-0.55,-0.42,0.19,1.21,47.86,73.49
110,0,199406,2.9,70.95,1.63,1.63,-0.73,0.29,260,24,-0.15,-0.74,-0.27,-0.33,-0.52,-0.14,1.11,57.97,83.93
110,0,199407,3.09,73.62,1.54,1.54,0.23,0.3,325,7,0.82,0.33,-0.32,-0.12,-0.37,-0.24,0.97,60.75,86.47
110,0,199408,2.54,72.21,1.23,1.23,-0.45,-0.13,264,19,-0.2,0.32,0.15,-0.22,-0.4,-0.34,0.87,59.2,85.23
110,0,199409,2.14,65.55,0.68,0.68,-1.27,-1.02,139,68,-0.77,-0.7,-0.18,-0.33,-0.38,-0.54,0.82,52.41,78.67
110,0,199410,2.86,54.21,1.25,1.25,1.9,0.18,49,275,1.06,0.35,0.21,-0.07,0.01,-0.24,1.22,42.51,65.91
110,0,199411,2.9,42.57,1.73,1.73,1.85,1.07,23,493,1.11,1.42,0.85,0.72,0.33,0.1,1.1,32.25,52.86
110,0,199412,2.19,36.23,1.75,1.75,0.59,1.18,10,724,-0.33,0.57,0.97,0.61,0.32,0.21,0.89,26.76,45.7
110,0,199501,3.18,33.08,2.69,2.69,3.35,2.69,6,840,1.58,0.88,1.25,0.98,0.65,0.61,0.84,23.99,42.17
110,0,199502,1.6,37.36,1.93,1.93,-1.45,1.25,8,732,-1.2,0.57,0.25,0.74,0.66,0.36,0.68,25.93,48.79
110,0,199503,2.99,43.34,2.03,2.03,0.89,1.67,19,553,1.02,0.03,1.02,1.33,1.01,0.67,0.74,32.27,54.41
110,0,199504,2.83,49.41,2.36,2.36,1.64,2.36,30,378,0.7,1.07,0.41,1.14,1.02,0.72,0.71,37.31,61.5
110,0,199505,4.1,58.64,3.46,3.46,4.03,3.46,97,186,2.16,1.84,1.84,1.5,1.62,1.49,1,47.21,70.07
110,0,199506,3.23,67.55,3.59,3.59,1.45,3.59,198,37,0.62,2.04,1.84,2,2.02,1.67,0.92,55.26,79.84
110,0,199507,2.65,73.54,3.53,3.53,0.93,3.53,345,6,-0.42,0.16,1.5,1.11,1.6,1.44,0.75,60.64,86.45
110,0,199508,2.66,74.32,3.22,3.22,0.14,3.21,358,9,0.13,-0.27,0.16,1.71,1.34,1.52,0.72,61.5,87.12
110,0,199509,2.2,64.69,2.65,2.65,-0.71,2.3,152,80,-0.64,-0.4,-0.52,1.01,1.37,1.57,0.62,51.82,77.54
110,0,199510,2.63,54.45,2.81,2.81,1.3,2.81,61,238,0.7,0.15,0.15,1.02,0.94,1.42,0.78,41.41,67.48
110,0,199511,2.37,42.04,2.71,2.71,0.58,2.71,13,597,0.24,0.63,0.24,0.22,1.26,1.17,0.85,30.61,53.46
110,0,199512,2.25,33.42,2.57,2.57,0.41,2.57,5,863,-0.23,0.04,0.38,-0.01,0.86,1.2,0.91,23.56,43.29
110,0,199601,2.82,29.7,3.03,3.03,2.17,3.03,6,931,1,0.52,0.53,0.43,1,0.96,1.01,18.61,40.78
110,0,199602,1.89,35.69,2.59,2.59,-0.38,2.38,6,730,-0.5,0.47,0.24,0.29,0.28,1.11,0.93,24.22,47.16
110,0,199603,2.24,39.02,2.24,2.24,-0.26,1.86,8,700,-0.51,-0.69,0.11,0.36,0.03,0.78,0.92,26.94,51.12
110,0,199604,2.56,50.65,2.15,2.15,0.43,1.89,27,360,0.12,-0.23,-0.45,0.16,0.16,0.7,0.85,37.58,63.72
