Date,Value
201309,69.3
201310,58.5
201311,51.9
201312,44.1
201401,50.1
201402,49.8
201403,53.5
201404,57.7
201405,64.6
201406,71.9
201407,78.4
201408,74.9
201409,72.2
201410,64.4
201411,53.1
201412,46.8
201501,48.6
201502,53.2
201503,56.9
201504,56.7
201505,60.8
201506,74.4
201507,75
201508,76.5
201509,72.1
201510,65
201511,47.6
201512,42.3
201601,44.5
201602,51.8
201603,52.5
201604,57.9
201605,62.2
201606,73.5
201607,76.8
201608,76.2
201609,69.5
201610,60.5
201611,52.8
201612,43.4
201701,42.2
201702,47.3
201703,53.4
201704,55.6
201705,63.4
201706,72.8
201707,78.8
201708,77.9
201709,69.8
201710,62
201711,53.4
201712,47.5
201801,48.8
201802,46.6
201803,49
